评分,创建时间,评论内容
5,2023-06-01 23:35:54,给老妈用的，收到货后忙乎了半天，因为这是第一次用鸿蒙系统，还不熟悉这个操作。外观设计很好看，色彩很正。充电试了一下，非常快。膜出厂已经贴好了，还有壳，很贴心。运行速度测试了下，反应非常快。还未上电话卡，其它的慢慢摸索中。
5,2023-05-29 11:41:16,外形外观：薄荷绿的颜色很喜欢，手感很好屏幕音效：屏幕比较大，很喜欢拍照效果：像素也很不错运行速度：鸿蒙系统，运行很快，不卡顿待机时间：买给奶奶的，待机久其他特色：送了一个手机壳，质量很不错。
5,2023-06-01 09:34:01,手机非常好 给老人用足够了  购物app 短视频app 应用起来都很流畅 续航也可以 价格还很划算 对比了其他电商 还算实惠的 送货也很快 晚上下单 第二天就送到了 好
5,2023-06-05 16:28:14,屏幕大，声音大，拍照效果好，鸿蒙系统好用，运行流畅，代理时间长，给老妈买的，爱不释手，国产华为，做的很棒，支持华为，支持京东。
5,2023-05-26 19:57:11,买给妈妈的手机，很好看，也适合老人使用。妈妈很喜欢，说屏幕大，声音大。其实待机时间也很长的。老人满意就很好了，唯一不好的就是，我保价时间刚过就降价30块了。
5,2023-05-25 11:58:15,商品很快收到了 外观造型非常好看 屏幕分辨率好 拍照效果清晰 运行速度快 待机时间长 屏幕音效好 喜欢的朋友不要犹豫了
5,2023-05-27 20:02:40,&nbsp;的确是千元手机中的好手机，给家里老人买的，老人对手机要求不高，这款手机运行速度快，画质清晰，黑色外观很有品质感，老人超喜欢，618再买个没五菱支持华为
5,2023-05-19 19:53:40,华为畅享 50z 5000万高清摄像头拍照清晰，画质感很棒，黑色外观很有品质感，性价比非常高，一直支持国产手机，家人都一直使用华为手机
5,2023-05-30 00:22:38,这个是我买的，第二个手机了，第一个不小心给摔坏了，然后赶快又下单了，这个性价比比较高，各种功能都好拍照，也很清楚，内存也很大，对于不是很要价格的人来说，这个手机打的
5,2023-05-29 18:55:26,运行速度挺快，鸿蒙系统好用，总得来说挺超值的。两点不足：照相清晰度差，模模糊糊的，也没有层次感；二是屏幕不灵敏，有的时候点好几下都没反应
5,2023-06-03 19:32:54,送货速度快，机子带保护壳！只需买个膜就可以了，外观也很漂亮，给老人用的，就是要教下怎么用！其它都不错，一直在京东买东西，服务没的说！赞一个！
5,2023-06-06 13:38:58,送给婆婆的礼物 老人家非常喜欢使用起来也很方便，教一遍马上就会使用了，屏幕清晰 反应速度也很快、而且轻薄手感非常好，支持华为支持国货。
5,2023-06-09 16:40:00,外形外观：外形外观：外观好看 拍照效果：音质特别好运行速度：运行速度还可以待机时间：待机时间还可以
5,2023-06-05 09:58:45,外形外观：外观简约现代风适当，屏幕音效：屏幕清晰美观，声音明亮，拍照效果：拍照很清晰，白天，夜间，人物风景等都很好，值得推荐运行速度：运行良好，但出现过卡顿，不知道为什么感觉华为质量越做越差&hellip;其他特色：配送时效快
5,2023-06-03 16:25:27,手机外观不错，送给老妈的礼物，80后老人家很快就学会使用，非常开心。拍照效果还不错，拍人像自动设置背景模糊，不到一千的价位能拍出这效果，赞?。包装严实，物流快。
5,2023-05-27 17:01:40,京东的快递小哥非常认真负责，手机拿起来手感也非常好。拍照的颜@彩逼真，操作简单明了，通话声音适中，能满足日常的基本要求。赞?！
5,2023-06-06 20:05:49,千元机的华为，麒麟8核芯片，很不错了。样子也很不错，我入手的是6G   128G  也够用了，一般应用也很流畅
5,2023-05-27 15:44:08,宝贝收到了，客服服务态度极好，很有耐心、给人一种亲切感，好喜欢。看得出来商家很用心。宝贝真心不错，与图片相符，没有任何差异，真的是物超所值。
5,2023-06-06 23:34:16,宝贝收到了，非常不错，给朋友买的，同事们看见了也想买呢，已经要了链接，己经给转发了链接，朋友看见了也想买呢，已经给转发了链接，这家的东西真的不错呢，真心好，店铺人也不错呢，很好，都很不错呢，真的很赞呢，店员服务态度也很好，很喜欢这家店呢，东西真心不错哦？可以值得考虑哦
3,2023-03-23 08:40:18,给孩子买的说用着特别卡
5,2023-05-31 20:47:54,给老爸买的，其他手机太多功能的用不了，华为这个系列刚刚好，无论价格还是功能，轻易能上手，屏幕大小也合适，清晰度也不错，很喜欢
5,2023-05-31 21:52:26,父亲的生日礼物 老年机很给力 屏幕大字大声音大老爸一直用的华为操作起来也很顺手但是必须吐槽一下京东的以旧换新服务 要是有别渠道收旧机还是别选京东收了
5,2023-06-09 22:02:48,喜欢在京东平台购物，家里吃的，用的，穿的，乃至家具家电等都在京东购买。这个品牌的手机我非常喜欢，物流非常快，包装很好，没有破损，购物体验是很好的。
5,2023-06-05 01:28:37,买手机平板啊这些啥啥的电器都喜欢在京东买、送货快，会员换货也安逸。手机很安逸，给爸爸买的，上手很快，我以为会用不会呢，刚好在家可以教他怎么用，结果用起来很利索?很棒的
5,2023-06-03 13:25:54,千元机中的战斗机，就是华为畅享50z，价格实惠送过来速度很快，碰上六一八活动的时候，真心值得购买。对于只需要打电话发信息来说真的足够了。
5,2023-06-06 21:29:46,手机外观很漂亮，手感很好，运行也很快，续航时间给力，家里人都用华为手机，质量很好，买给老人用的，很不错，性价比很高，京东快递很快
5,2023-06-06 21:40:39,买给老人家用的，价格实惠，尺寸刚好，屏幕很高清，拍出来的照片很清晰，触屏效果好，老人家反馈很好用，赞不绝口，用了一段时间了，没有出现什么质量问题。
5,2023-05-27 14:51:57,东西收到以后马上查看，发现与图片描述一致，超级喜欢，卖家发货速度很快，服务也很到位，给老板点个赞，商家真的好有耐心，一一为我解答，为我推荐适合我的，店家比较贴心还送了小礼物，五星好评下次还会来购买。
5,2023-06-07 15:25:53,手机家里人都非常喜欢，操作也非常方便，外观也比较好看，机器的像素也非常好，选择这个很不错，续航能力：很好运行速度：畅快拍照效果：清晰价格非常实惠，功能已经满足绝大多数人的需求，完全能够称得上是一款非常性价比高的好手机。华为的质量一如既往的让人放心。
5,2023-05-17 11:23:04,买给家里老人用的，之前手机太卡啦，这次直接买了个大内存的，用起来速度比较快一些，懒人喜欢下载些评书什么听，内存大用起来太爽啦，下载速度也够快。喜欢拍照的这次可以卡卡拍啦不用担心内存，黑色高大上，总之，家里老人非常喜欢。
5,2023-05-17 18:50:22,一直在京东购物。服务态度好。发货速度快，这款手机。适合老人用。包装很好，没有破损。手机外观也可以。屏幕也算够大。总体来说。老人用还是可以的。
5,2023-05-28 20:24:38,外形外观：颜色正，很亮眼，屏幕大拍照效果：还不错很清晰到货是非常快的，大品牌很多年了值得购买信赖，运行顺畅，希望商家坚持品质，当然价格便宜些更好了
5,2023-05-15 18:44:39,千元手机中的好手机，给家里老人买的，老人家手机坏了，买个千元级别的手机老人用，老人对手机要求不高，这款手机完全能满足老人的需求！速度很快，不运行大游戏内存足够！只买华为！
5,2023-06-07 19:57:29,已经是第二次买这款手机了，使用起来的很是不错的，内存也有这么大的，没有多少软件的也不用担心内存不够用的，外观也是很好看的，值得买一个，一般使用刚刚好
5,2023-06-04 08:43:27,非常好用，非常好用！我已经买了不下于2个同样的了，客厅餐厅一把，农村也买了，从最早2015年购买，一直用到现在都没有坏过，值得购买，而且售后很好，是大品牌，值得信赖。
5,2023-06-03 21:22:04,京东618真的很给力。华为畅享50Z有一种莫名的好感，活动价价格更实惠，质量杠杠的，鸿蒙系统，用着很舒服，物超所值。
5,2023-05-15 02:07:31,爸爸，都是老年人，随便买一款能满足日常需要越便宜越好，选择了，这款华为京东物流好快第二天就到性价比很高，里面自带手机膜和手机壳买回来就能用。华为品质高，不用说
5,2023-05-17 09:03:53,物流很快，?产品很快就收到了，比想象中还好，不错不错！希望能耐用到货就迫不及待打开了，果真没有让我失望，质量特别好，颜值也相当高，满意的一次购物
3,2023-03-15 05:36:05,运行速度：包装简陋无填充物
